form,root
raste,rasen
ras,rasen
rast,rasen
rase,rasen
gerast,rasen
rast,rasen
rast,rasen
raste,rasen
lebte aus,ausleben
leb aus,ausleben
lebt aus,ausleben
lebe aus,ausleben
ausgelebt,ausleben
lebst aus,ausleben
lebt aus,ausleben
lebte aus,ausleben
träte ein,eintreten
tritt ein,eintreten
tretet ein,eintreten
trete ein,eintreten
eingetreten,eintreten
trittst ein,eintreten
tritt ein,eintreten
trat ein,eintreten
interpretierte fehl,fehlinterpretieren
interpretiere fehl,fehlinterpretieren
interpretiert fehl,fehlinterpretieren
interpretiere fehl,fehlinterpretieren
fehlinterpretiert,fehlinterpretieren
interpretierst fehl,fehlinterpretieren
interpretiert fehl,fehlinterpretieren
interpretierte fehl,fehlinterpretieren
schnäuzte,schnäuzen
schnäuze,schnäuzen
schnäuzt,schnäuzen
schnäuze,schnäuzen
geschnäuzt,schnäuzen
schnäuzt,schnäuzen
schnäuzt,schnäuzen
schnäuzte,schnäuzen
hutschte,hutschen
hutsch,hutschen
hutscht,hutschen
hutsche,hutschen
gehutscht,hutschen
hutschst,hutschen
hutscht,hutschen
hutschte,hutschen
würfe auf,aufwerfen
wirf auf,aufwerfen
werft auf,aufwerfen
werfe auf,aufwerfen
aufgeworfen,aufwerfen
wirfst auf,aufwerfen
wirft auf,aufwerfen
warf auf,aufwerfen
bespöttelte,bespötteln
bespöttle,bespötteln
bespöttelt,bespötteln
bespöttle,bespötteln
bespöttelt,bespötteln
bespöttelst,bespötteln
bespöttelt,bespötteln
bespöttelte,bespötteln
stiege ein,einsteigen
steig ein,einsteigen
steigt ein,einsteigen
steige ein,einsteigen
eingestiegen,einsteigen
steigst ein,einsteigen
steigt ein,einsteigen
stieg ein,einsteigen
trimmte,trimmen
trimme,trimmen
trimmt,trimmen
trimme,trimmen
getrimmt,trimmen
trimmst,trimmen
trimmt,trimmen
trimmte,trimmen
besabberte,besabbern
besabber,besabbern
besabbert,besabbern
besabbere,besabbern
besabbert,besabbern
besabberst,besabbern
besabbert,besabbern
besabberte,besabbern
siegelte,siegeln
siegel,siegeln
siegelt,siegeln
siegele,siegeln
gesiegelt,siegeln
siegelst,siegeln
siegelt,siegeln
siegelte,siegeln
gentrifizierte,gentrifizieren
gentrifizier,gentrifizieren
gentrifiziert,gentrifizieren
gentrifiziere,gentrifizieren
gentrifiziert,gentrifizieren
gentrifizierst,gentrifizieren
gentrifiziert,gentrifizieren
gentrifizierte,gentrifizieren
abaissierte,abaissieren
abaissiere,abaissieren
abaissiert,abaissieren
abaissiere,abaissieren
abaissiert,abaissieren
abaissierst,abaissieren
abaissiert,abaissieren
abaissierte,abaissieren
läse ab,ablesen
lies ab,ablesen
lest ab,ablesen
lese ab,ablesen
abgelesen,ablesen
liest ab,ablesen
liest ab,ablesen
las ab,ablesen
marginalisierte,marginalisieren
marginalisiere,marginalisieren
marginalisiert,marginalisieren
marginalisiere,marginalisieren
marginalisiert,marginalisieren
marginalisierst,marginalisieren
marginalisiert,marginalisieren
marginalisierte,marginalisieren
hackte ab,abhacken
hacke ab,abhacken
hackt ab,abhacken
hacke ab,abhacken
abgehackt,abhacken
hackst ab,abhacken
hackt ab,abhacken
hackte ab,abhacken
schäumte über,überschäumen
schäume über,überschäumen
schäumt über,überschäumen
schäume über,überschäumen
übergeschäumt,überschäumen
schäumst über,überschäumen
schäumt über,überschäumen
schäumte über,überschäumen
wickelte auf,aufwickeln
wickle auf,aufwickeln
wickelt auf,aufwickeln
wickle auf,aufwickeln
aufgewickelt,aufwickeln
wickelst auf,aufwickeln
wickelt auf,aufwickeln
wickelte auf,aufwickeln
reimportierte,reimportieren
reimportier,reimportieren
reimportiert,reimportieren
reimportiere,reimportieren
reimportiert,reimportieren
reimportierst,reimportieren
reimportiert,reimportieren
reimportierte,reimportieren
strullte,strullen
strull,strullen
strullt,strullen
strulle,strullen
gestrullt,strullen
strullst,strullen
strullt,strullen
strullte,strullen
vertriebe,vertreiben
vertreibe,vertreiben
vertreibt,vertreiben
vertreibe,vertreiben
vertrieben,vertreiben
vertreibst,vertreiben
vertreibt,vertreiben
vertrieb,vertreiben
schnökerte,schnökern
schnöker,schnökern
schnökert,schnökern
schnöker,schnökern
geschnökert,schnökern
schnökerst,schnökern
schnökert,schnökern
schnökerte,schnökern
glückte,glücken
glücke,glücken
glückt,glücken
glücke,glücken
geglückt,glücken
glückst,glücken
glückt,glücken
glückte,glücken
pauschalisierte,pauschalisieren
pauschalisiere,pauschalisieren
pauschalisiert,pauschalisieren
pauschalisiere,pauschalisieren
pauschalisiert,pauschalisieren
pauschalisierst,pauschalisieren
pauschalisiert,pauschalisieren
pauschalisierte,pauschalisieren
lüde,laden
lade,laden
ladet,laden
lade,laden
geladen,laden
lädst,laden
lädt,laden
lud,laden
beantwortete,beantworten
beantworte,beantworten
beantwortet,beantworten
beantworte,beantworten
beantwortet,beantworten
beantwortest,beantworten
beantwortet,beantworten
beantwortete,beantworten
mäße,messen
miss,messen
messt,messen
messe,messen
gemessen,messen
misst,messen
misst,messen
maß,messen
plissierte,plissieren
plissiere,plissieren
plissiert,plissieren
plissiere,plissieren
plissiert,plissieren
plissierst,plissieren
plissiert,plissieren
plissierte,plissieren
gravitierte,gravitieren
gravitier,gravitieren
gravitiert,gravitieren
gravitiere,gravitieren
gravitiert,gravitieren
gravitierst,gravitieren
gravitiert,gravitieren
gravitierte,gravitieren
entbände,entbinden
entbind,entbinden
entbindet,entbinden
entbinde,entbinden
entbunden,entbinden
entbindest,entbinden
entbindet,entbinden
entband,entbinden
fiele herab,herabfallen
fall herab,herabfallen
fallt herab,herabfallen
falle herab,herabfallen
herabgefallen,herabfallen
fällst herab,herabfallen
fällt herab,herabfallen
fiel herab,herabfallen
matchte,matchen
matche,matchen
matcht,matchen
matche,matchen
gematcht,matchen
matchst,matchen
matcht,matchen
matchte,matchen
täte not,nottun
notgetan,nottun
tut not,nottun
tat not,nottun
gaste,gasen
gas,gasen
gast,gasen
gase,gasen
gegast,gasen
gast,gasen
gast,gasen
gaste,gasen
kommandierte ab,abkommandieren
kommandiere ab,abkommandieren
kommandiert ab,abkommandieren
kommandiere ab,abkommandieren
abkommandiert,abkommandieren
kommandierst ab,abkommandieren
kommandiert ab,abkommandieren
kommandierte ab,abkommandieren
nächtigte,nächtigen
nächtige,nächtigen
nächtigt,nächtigen
nächtige,nächtigen
genächtigt,nächtigen
nächtigst,nächtigen
nächtigt,nächtigen
nächtigte,nächtigen
wöge,wägen
wäge,wägen
wägt,wägen
wäge,wägen
gewogen,wägen
wägst,wägen
wägt,wägen
wog,wägen
wilderte,wildern
wildere,wildern
wildert,wildern
wildere,wildern
gewildert,wildern
wilderst,wildern
wildert,wildern
wilderte,wildern
pulte,pulen
pul,pulen
pult,pulen
pule,pulen
gepult,pulen
pulst,pulen
pult,pulen
pulte,pulen
langte an,anlangen
lang an,anlangen
langt an,anlangen
lange an,anlangen
angelangt,anlangen
langst an,anlangen
langt an,anlangen
langte an,anlangen
friedete ein,einfrieden
fried ein,einfrieden
